"%s days","%s días"
"Access denied!","Acceso denegado!"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","To add item to the Shopping cart <a href='%s'>log out</a> from Quote Confirmation mode."
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","To update item to the Shopping cart <a href='%s'>log out</a> from Quote Confirmation mode."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","To add product to the Order mode <a href='%s'>switch the Shopping Cart to Order mode.</a>"
"TO:","A:"
"Unable to send email.","Unable to send email."
"Unit price","Precio NETO"
"Unknown exception","Unknown exception"
"View Quote","Ver Cotización"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","You are in Quote Confirmation mode, <a href='%s'>log out</a>."
"You have placed no quotes.","Usted no ha solicitado cotizaciones."
"You log out successfully from Quote confirmation mode.","Usted ha sido del modo de Cotización."
"You will receive a quote confirmation email with a link to track progress.","Usted recibirá un email de notificación con su solicitud de Cotización."
"You're welcome to place a new Request for Quote","You're welcome to place a new Request"
"Your order list contains items that cannot quoted.","Your Shopping Cart contains items that cannot be Quoted."
"Your quote has been canceled","Your Quote Request has been Canceled"
"Your quote has been received","Your Request for a Quote has been received"
"Your quote list contains items that cannot ordered.","Your Quote Request contains items that cannot be Ordered."
"Your quote request has been received","Hemos recibido su solicitud de Cotización"
"Your quote request has been submitted successfully.","Your Quote Request has been submitted successfully."
"Your shopping cart will be changed to Quote Request if you continue.","Your shopping cart will be changed to Quote Request if you continue."
"Zip/Postal Code","Zip/Postal Code"
"Add Qty", "Add Tier"
"enter your address", "Dirección: Sin Información"
"enter your city", "Ciudad: Sin Información"
"enter your Zip", "ZIP: Sin Información"
"enter your state", "Comuna: Sin Información"
"Request a shipping quote","Cotizar el despacho"
"Total price", "Total price"
"Move to Shopping cart", "Mover productos al carro de Compras"
"Move to shopping cart?","Move to shopping cart?"
"This quote list contains items that cannot ordered.", "This quote list contains items that cannot ordered."
"This item will be removed from the list if you continue:","The following item(s) will be removed from the list if you continue:"
"Cancel Action","Cancel"
"Continue Action","Continue"
"Copy to Quotation","Cotizar"
"Copy to Quotation?","Copy to Quotation?"
"Copy to Quotation","Copiar al Carro de Cotización"
"Cannot update the item.","Cannot update the item."
"Quote item is not found.","Quote item is not found."
"Cannot configure product.","Cannot configure product."
"Edit", "Edit"
"in process...", "en proceso..."
"My Quote", "Cotizaciones"
"My Quote (%s items)", "Cotización (%s items)"
"My Quote (%s item)", "Cotización (%s item)"
"Enter your destination to receive a shipping quotation.","Ingrese los datos de la cotización."
"Your quote request # is: %s.","Su número de cotización es: %s."
"Price_proposal_%s","Cotizacion_%s"
"Enter your destination to receive a shipping quotation. Unless otherwise specified, standard shipping is quoted via freight carrier, business to business/loading dock/curbside only.","Ingrese su dirección de despacho."
"Billing Address is same as Shipping Address","La dirección de despacho es la misma que de facturación."
"Use Default Billing and Shipping Address","Usar la dirección de despacho registrada."
"Quote profit","Margen de Utilidad"
